OrderId;UserId;ProductId
1;14;36
2;3;67
3;5;14
4;4;17
5;1;50
6;9;48
7;8;25
8;6;51
9;15;71
10;21;21
11;2;78
12;10;13
13;18;20
14;4;46
15;3;20
16;12;20
17;26;93
18;8;26
19;5;11
20;18;94
21;1;26
22;11;13
23;6;48
24;1;23
25;8;21
26;28;61
27;4;32
28;10;8
29;11;61
30;14;15
31;13;92
32;24;71
33;4;50
34;24;55
35;11;13
36;28;88
37;12;67
38;16;6
39;9;8
40;4;26
41;13;52
42;4;21
43;4;86
44;20;10
45;1;33
46;1;10
47;19;73
48;6;49
49;4;9
50;8;9
51;8;46
52;1;26
53;5;35
54;3;20
55;16;94
56;8;97
57;20;4
58;10;30
59;15;57
60;19;59
61;11;80
62;21;15
63;22;29
64;19;11
65;26;22
66;16;94
67;26;62
68;26;85
69;7;6
70;14;25
71;20;10
72;11;14
73;21;46
74;6;71
75;19;61
76;21;46
77;4;3
78;5;40
79;12;6
80;12;20
81;29;92
82;1;44
83;13;38
84;28;60
85;8;31
86;16;67
87;7;6
88;18;91
89;11;78
90;5;42
91;5;81
92;11;16
93;9;49
94;20;23
95;23;96
96;6;48
97;18;91
98;27;91
99;4;50
100;14;74
101;30;73
102;14;74
103;10;34
104;20;23
105;6;88
106;10;48
107;8;10
108;9;11
109;24;39
110;17;24
111;12;6
112;30;39
113;14;56
114;6;7
115;24;47
116;13;92
117;30;1
118;16;38
119;11;2
120;16;24
121;14;25
122;7;92
123;8;50
124;6;75
125;6;18
126;10;48
127;3;38
128;7;6
129;7;91
130;12;92
131;14;73
132;9;51
133;20;27
134;8;46
135;7;20
136;17;24
137;8;22
138;18;95
139;21;41
140;16;20
141;26;74
142;10;54
143;13;12
144;9;69
145;22;73
146;2;5
147;12;6
148;16;67
149;9;70
150;12;73
151;11;85
152;5;5
153;11;49
154;6;49
155;15;30
156;1;25
157;9;49
158;26;56
159;26;28
160;10;1
161;16;91
162;2;37
163;22;49
164;11;48
165;4;25
166;8;43
167;11;18
168;2;13
169;12;52
170;12;12
171;23;41
172;4;53
173;5;34
174;8;45
175;28;71
176;2;48
177;8;26
178;8;32
179;21;44
180;14;33
181;4;74
182;8;9
183;19;7
184;9;18
185;14;25
186;11;61
187;30;48
188;9;18
189;13;12
190;3;92
191;1;63
192;8;32
193;9;42
194;28;37
195;24;7
196;1;84
197;8;36
198;26;65
199;23;96
200;13;12
201;13;38
202;18;91
203;18;20
204;13;12
205;6;51
206;10;49
207;13;24
208;8;45
209;4;43
210;1;4
211;28;90
212;27;95
213;16;91
214;4;21
215;15;40
216;20;27
217;1;21
218;6;1
219;1;74
220;12;20
221;8;10
222;22;80
223;14;9
224;10;18
225;29;20
226;5;14
227;4;32
228;20;22
229;13;24
230;24;37
231;6;41
232;10;48
233;9;37
234;7;24
235;12;24
236;18;24
237;4;50
238;1;45
239;10;40
240;2;61
241;14;65
242;4;4
243;3;12
244;12;67
245;8;63
246;12;52
247;12;24
248;24;24
249;4;74
250;9;59
251;9;78
252;20;25
253;4;22
254;22;11
255;8;50
256;16;24
257;2;76
258;11;11
259;17;91
260;8;46
261;13;12
262;25;73
263;21;66
264;8;58
265;14;15
266;24;12
267;14;32
268;10;78
269;11;5
270;4;31
271;8;23
272;12;6
273;4;44
274;3;6
275;6;51
276;10;35
277;1;9
278;2;30
279;10;55
280;1;53
281;15;14
282;20;25
283;14;28
284;19;75
285;8;62
286;29;92
287;16;20
288;18;67
289;6;2
290;2;47
291;12;6
292;4;32
293;26;10
294;9;88
295;23;94
296;17;12
297;12;6
298;26;62
299;9;30
300;28;18
301;9;8
302;5;87
303;5;37
304;23;97
305;8;21
306;19;59
307;17;67
308;8;15
309;19;88
310;20;15
311;8;21
312;3;92
313;29;95
314;12;38
315;3;24
316;18;97
317;10;70
318;4;22
319;3;20
320;14;17
321;2;13
322;3;38
323;5;35
324;9;18
325;12;38
326;21;10
327;4;63
328;15;14
329;1;43
330;27;6
331;1;17
332;20;9
333;11;42
334;1;19
335;12;38
336;1;43
337;9;30
338;16;12
339;17;96
340;9;18
341;29;91
342;4;50
343;4;3
344;18;91
345;12;12
346;2;70
347;7;52
348;13;73
349;8;10
350;2;13
351;12;12
352;9;34
353;5;49
354;1;19
355;1;23
356;8;22
357;24;20
358;11;37
359;5;11
360;8;41
361;20;50
362;29;24
363;6;75
364;7;52
365;14;62
366;8;84
367;6;77
368;17;92
369;19;18
370;5;70
371;3;52
372;21;97
373;3;20
374;6;40
375;28;88
376;18;12
377;13;24
378;13;92
379;6;42
380;23;24
381;21;36
382;9;68
383;7;12
384;3;6
385;18;52
386;12;91
387;13;12
388;7;20
389;22;80
