EmployeeId;InventoryId;CountItem
3404;3748;13
3404;336;10
3279;19;9
3404;338;7
3279;6207;6
3532;451;6
6164;353;6
6181;345;6
6235;2515;6
9189;3659;6
4982;347;5
3234;3767;4
3507;448;4
3565;450;4
3722;6152;4
6043;392;4
6255;2515;4
6288;4803;4
9130;379;4
3234;343;3
3287;14;3
3484;388;3
3493;437;3
3548;359;3
3559;445;3
3565;338;3
3611;5078;3
3639;383;3
3680;3659;3
3697;383;3
3756;377;3
3817;314;3
3829;383;3
3896;448;3
3904;364;3
3935;2499;3
3969;346;3
4982;3748;3
6033;391;3
6096;365;3
6100;345;3
6116;3745;3
6147;446;3
6168;3593;3
6181;458;3
6235;450;3
6277;364;3
6292;4;3
6297;3753;3
6297;3757;3
8059;383;3
9068;3563;3
9093;347;3
9124;4;3
9136;3745;3
9149;455;3
9252;448;3
9354;6130;3
3075;393;2
3136;395;2
3287;447;2
3287;5066;2
3345;383;2
3345;412;2
3345;3713;2
3380;370;2
3380;3755;2
3380;6207;2
3401;359;2
3436;4811;2
3493;314;2
3517;328;2
3549;1;2
3558;1;2
3558;377;2
3558;383;2
3558;4811;2
3559;341;2
3565;390;2
3565;2494;2
3611;19;2
3619;10678;2
3639;336;2
3673;336;2
3697;397;2
3699;344;2
3703;395;2
3707;383;2
3707;2531;2
3769;380;2
3769;402;2
3772;388;2
3795;4;2
3800;2527;2
3826;336;2
3832;370;2
3832;388;2
3832;3565;2
3849;394;2
3855;386;2
3857;345;2
3897;21;2
3897;22;2
3908;369;2
3911;3765;2
3915;385;2
3915;412;2
3942;354;2
3942;393;2
3948;369;2
3964;314;2
3967;314;2
3969;3552;2
4982;1424;2
4983;112;2
4987;3587;2
4991;360;2
4997;1;2
4997;314;2
4997;1427;2
6007;447;2
6007;2600;2
6007;2602;2
6008;449;2
6013;3565;2
6016;346;2
6017;383;2
6017;437;2
6021;14;2
6028;14;2
6035;401;2
6035;3548;2
6037;3713;2
6043;370;2
6043;437;2
6043;3587;2
6045;376;2
6045;448;2
6103;394;2
6103;3651;2
6115;4817;2
6123;348;2
6126;2547;2
6126;2560;2
6129;4;2
6135;5067;2
6137;1;2
6145;18;2
6147;314;2
6150;3745;2
6150;3767;2
6157;400;2
6162;402;2
6164;370;2
6164;3587;2
6166;354;2
6180;2530;2
6181;4;2
6181;347;2
6181;348;2
6181;367;2
6194;340;2
6196;2548;2
6196;2560;2
6196;2562;2
6196;2601;2
6196;2603;2
6196;2692;2
6196;2693;2
6201;4;2
6209;3547;2
6217;342;2
6219;54;2
6274;363;2
6292;314;2
6292;2509;2
6303;437;2
6303;448;2
6303;4811;2
6452;4800;2
6520;3659;2
6929;344;2
6932;1;2
6968;14;2
8000;5109;2
8052;4;2
9093;3659;2
9093;3748;2
9112;4;2
9124;345;2
9132;3745;2
9136;365;2
9154;2547;2
9154;2560;2
9154;2601;2
9154;2689;2
9154;2693;2
9185;445;2
9188;3753;2
9407;11854;2
10445;444;2
10453;3659;2
10598;346;2
10600;6213;2
10668;3598;2
11790;1351;2
11882;314;2
11882;3724;2
2709;393;1
2711;370;1
2711;1159;1
2711;10678;1
2726;79;1
2726;1160;1
2726;4856;1
2726;10678;1
2726;11854;1
2730;15;1
2730;19;1
2730;32;1
2730;235;1
2730;314;1
2730;1161;1
2730;3564;1
2730;3716;1
2730;3726;1
2730;3748;1
2730;3755;1
2730;3772;1
2730;4859;1
2730;5083;1
2755;342;1
2755;346;1
2755;370;1
2755;1162;1
2755;1425;1
2755;1439;1
2755;2539;1
2755;4931;1
2772;64;1
2772;268;1
2772;353;1
2772;382;1
2772;383;1
2772;1163;1
2772;3713;1
2772;4797;1
2772;4953;1
2772;10678;1
2772;10679;1
2774;54;1
2774;370;1
2774;1164;1
2774;3561;1
2774;4860;1
2774;5030;1
2774;11854;1
2776;90;1
2776;1165;1
2776;4956;1
2776;10655;1
2776;10656;1
2816;83;1
2816;1166;1
2816;1439;1
2816;4861;1
2896;51;1
2896;316;1
2896;1167;1
2977;48;1
3007;385;1
3070;1168;1
3070;4899;1
3075;395;1
3075;1169;1
3075;3587;1
3075;3593;1
3075;3658;1
3075;8562;1
3075;8567;1
3094;32;1
3094;314;1
3094;356;1
3094;1170;1
3094;3574;1
3094;4862;1
3094;6211;1
3102;18;1
3102;385;1
3102;1395;1
3102;1439;1
3102;1440;1
3102;2503;1
3102;2546;1
3102;4877;1
3102;9615;1
3104;1;1
3104;12;1
3104;22;1
3104;167;1
3104;446;1
3104;1171;1
3104;4800;1
3104;4946;1
3136;85;1
3136;380;1
3136;446;1
3136;449;1
3136;455;1
3136;1172;1
3136;3641;1
3136;4868;1
3136;10678;1
3136;11854;1
3158;14;1
3158;32;1
3158;242;1
3167;32;1
3167;1173;1
3167;1439;1
