UserId;ProductId;Count
1;1;8
1;2;1
1;3;3
1;4;4
1;5;6
1;6;4
1;7;2
1;8;5
1;9;2
1;10;2
1;12;1
1;13;3
1;14;2
1;15;2
1;16;6
1;17;1
1;18;3
1;19;6
1;20;1
1;21;4
1;22;4
1;23;6
1;24;3
1;25;2
1;26;5
1;27;3
1;28;4
1;29;4
1;30;1
1;31;2
1;33;8
1;34;5
1;35;6
1;36;3
1;37;2
1;38;4
1;39;6
1;40;2
1;41;2
1;42;1
1;43;6
1;44;3
1;45;1
1;46;2
1;47;1
1;48;2
1;49;1
1;50;4
1;51;2
1;52;2
1;53;2
1;54;3
1;55;2
1;56;7
1;57;1
1;58;2
1;59;1
1;60;3
1;61;7
1;62;2
1;63;2
1;64;3
1;66;2
1;67;2
1;68;9
1;69;3
1;70;3
1;71;4
1;72;3
1;73;8
1;74;2
1;76;4
1;77;2
1;80;7
1;89;1
1;98;1
1;115;1
1;116;1
1;122;1
2;1;5
2;2;2
2;3;5
2;4;5
2;5;3
2;6;6
2;7;7
2;8;1
2;9;2
2;10;9
2;11;1
2;12;1
2;13;2
2;16;2
2;17;4
2;18;3
2;19;4
2;20;6
2;21;4
2;22;3
2;26;2
2;27;5
2;28;6
2;29;4
2;30;2
2;31;5
2;32;5
2;33;2
2;34;1
2;35;2
2;36;5
2;37;1
2;38;2
2;39;6
2;40;2
2;41;3
2;42;2
2;43;5
2;46;1
2;47;2
2;48;3
2;49;4
2;50;6
2;51;4
2;52;2
2;53;5
2;54;6
2;55;2
2;58;1
2;59;1
2;60;2
2;61;4
2;62;3
2;63;3
2;64;1
2;65;5
2;66;2
2;67;5
2;69;2
2;71;3
2;72;2
2;73;4
2;74;2
2;75;4
2;76;4
2;77;2
2;78;2
2;79;4
2;80;5
2;93;1
3;1;2
3;2;2
3;3;1
3;4;1
3;5;2
3;6;3
3;7;2
3;8;2
3;10;3
3;13;4
3;14;2
3;15;3
3;16;2
3;18;7
3;19;2
3;20;2
3;22;4
3;23;6
3;25;3
3;26;2
3;28;5
3;29;2
3;31;3
3;33;7
3;34;1
3;35;3
3;36;3
3;37;3
3;38;2
3;39;7
3;40;6
3;43;4
3;44;3
3;45;3
3;46;8
3;47;3
3;48;3
3;49;6
3;51;1
3;52;4
3;53;4
3;54;4
3;55;4
3;56;2
3;57;2
3;58;2
3;59;3
3;60;6
3;63;8
3;64;1
3;65;1
3;67;3
3;68;2
3;69;5
3;70;4
3;71;2
3;72;4
3;73;5
3;74;2
3;77;4
3;78;3
3;79;9
3;81;1
3;96;1
3;99;1
3;105;1
3;109;1
3;114;1
3;118;1
4;1;2
4;2;2
4;3;2
4;4;1
4;5;4
4;6;2
4;7;4
4;8;1
4;9;3
4;11;4
4;12;2
4;13;1
4;14;1
4;15;3
4;16;1
4;17;4
4;18;2
4;19;1
4;21;8
4;22;4
4;23;2
4;24;6
4;25;2
4;27;5
4;28;3
4;29;2
4;31;3
4;32;3
4;33;5
4;34;8
4;35;2
4;37;5
4;38;4
4;39;5
4;40;3
4;41;1
4;42;2
4;43;1
4;44;4
4;45;4
4;46;4
4;47;3
4;48;3
4;49;2
4;50;2
4;51;6
4;52;7
4;54;7
4;55;4
4;56;2
4;58;3
4;59;1
4;60;2
4;61;7
4;62;5
4;63;9
4;64;4
